segment_id,segment_name,campaign_family,campaign_intent,rfm_segment,data_usage_segment,voice_usage_segment,data_usage_trend,voice_usage_trend,opportunity,nbo_action,customer_signal,customer_meaning,subs_count,arpu_avg_or,arpu_min_or,arpu_max_or,total_revenue_or,data_revenue_or,voice_revenue_or,recharges_per_month_avg,recharge_amount_avg_or,recharge_frequency_days,avg_data_gb,avg_voice_min,churn_risk_score,activity_score,inactive_days,tenure_months_avg,current_pack_type,offer_affinity,business_context,customer_count,avg_arpu
Seg-7403,Lost — LowD-MediumV (Upsell),upsell,increase_arpu,Lost,low,medium,Declining,Strong Growth,Upsell,Data booster,Voice Strong Despite Weak Data,"Voice strongly active, data poor",9718,0.99,0.37,2.87,9620.82,3159.08,6461.74,0.31,3.04,97,2.83,114,0.94,0.18,21,49,monthly_combo,combo_pack|retention_pack,prepaid,9718,0.99
Seg-1915,At Risk — Data Heavy (Upsell),upsell,increase_arpu,At Risk,high,Zero,Declining,Strong Growth,Upsell,Combo correction plan,Voice Rebound Data Drop,"Voice grows, data declines",23689,4.71,1.94,10.94,111575.19,100417.67,11157.52,0.67,7.18,45,15.19,0,0.86,0.27,52,82,data_heavy,data_addon|ott_bundle,prepaid,23689,4.71
Seg-2160,At Risk — Data Heavy (Upsell),upsell,increase_arpu,At Risk,very_high,Zero,Declining,Strong Growth,Upsell,Elite combo correction,Voice Rebound Elite Data Drop,"Voice grows, data declines",32712,6.61,2.4,21.15,216226.32,194603.69,21622.63,0.68,9.39,44,19.43,0,0.9,0.28,63,29,data_heavy,data_addon|ott_bundle,prepaid,32712,6.61
Seg-5820,Customers needing Attention — Data Heavy (Upsell),upsell,increase_arpu,Customers needing Attention,very_high,Zero,Declining,Strong Growth,Upsell,Combo correction plan,Voice Rebound Data Drop,"Voice grows, data declines",40234,8.23,3.72,15.07,331125.82,298013.24,33112.58,0.83,10.13,36,22.11,0,0.64,0.41,21,66,data_heavy,data_addon|ott_bundle,prepaid,40234,8.23
Seg-5624,Customers needing Attention — Data Heavy (Upsell),upsell,increase_arpu,Customers needing Attention,very_high,low,Declining,Strong Growth,Upsell,Voice booster,Voice Rebound,"Data declines, voice rises sharply",36514,9.4,4.9,24.9,343231.6,307312.01,35919.59,0.81,12.57,37,23.23,42,0.58,0.48,16,9,data_heavy,data_addon|ott_bundle,prepaid,36514,9.4
Seg-8434,Lost — Voice Heavy (Upsell),upsell,increase_arpu,Lost,Zero,high,Declining,Rapid Expansion,Upsell,Voice premium elite,High Voice Rapid Return,Voice rapidly expands despite no data,9715,1.27,0.68,3.23,12338.05,1233.81,11104.24,0.32,4.0,94,0.0,195,0.98,0.17,56,10,voice_heavy,voice_pack|cross_sell_addon,prepaid,9715,1.27
Seg-8336,Lost — ZeroD-LowV (Upsell),upsell,increase_arpu,Lost,Zero,low,Declining,Rapid Expansion,Upsell,Voice growth premium,Voice Revival Lost,Voice rapidly rebounds despite zero data,12334,0.71,0.26,1.49,8757.14,875.71,7881.43,0.29,2.29,103,0.0,48,0.98,0.12,47,42,monthly_combo,combo_pack|retention_pack,prepaid,12334,0.71
Seg-8385,Lost — ZeroD-MediumV (Upsell),upsell,increase_arpu,Lost,Zero,medium,Declining,Rapid Expansion,Upsell,Voice premium max,Voice Rapid Return Lost,Voice rapidly expanding despite zero data,13625,0.67,0.29,1.86,9128.75,912.88,8215.87,0.26,2.4,114,0.0,104,0.98,0.19,24,9,monthly_combo,combo_pack|retention_pack,prepaid,13625,0.67
Seg-7552,Lost — LowD-ZeroV (Upsell),upsell,increase_arpu,Lost,low,Zero,Declining,Rapid Expansion,Upsell,Voice premium relaunch,Voice Rapid Revival Lost,"Voice rapidly rebounds, data weak",11954,0.63,0.34,1.41,7531.02,6777.92,753.1,0.29,1.96,104,3.43,0,0.98,0.2,24,23,monthly_combo,combo_pack|retention_pack,prepaid,11954,0.63
Seg-7452,Lost — Voice Heavy (Upsell),upsell,increase_arpu,Lost,low,high,Declining,Strong Growth,Upsell,Data migration pack,High Voice Strength Weak Data,Voice strongly active despite poor data,13667,1.35,0.49,3.79,18450.45,3940.87,14509.58,0.27,4.2,113,3.55,218,0.94,0.19,35,16,voice_heavy,voice_pack|cross_sell_addon,prepaid,13667,1.35
Seg-4610,Champions — Data Heavy (Cross-sell),cross_sell,cross_sell,Champions,very_high,Zero,Declining,Strong Growth,Cross-sell,Voice starter pack,Data Growth,"Data strong, voice absent",9639,21.87,11.09,52.79,210804.93,189724.44,21080.49,1.11,17.76,27,19.13,0,0.19,0.81,5,46,data_heavy,data_addon|ott_bundle,prepaid,9639,21.87
Seg-4365,Champions — Data Heavy (Cross-sell),cross_sell,cross_sell,Champions,high,Zero,Declining,Strong Growth,Cross-sell,Voice starter pack,Data Growth,Strong data usage,12643,11.99,5.6,28.45,151589.57,136430.61,15158.96,1.03,10.59,29,15.65,0,0.15,0.84,5,65,data_heavy,data_addon|ott_bundle,prepaid,12643,11.99
Seg-10292,Potential Loyalist — Data Heavy (Cross-sell),cross_sell,cross_sell,Potential Loyalist,high,low,Declining,Dormant,Cross-sell,Voice activation,Voice Dead,Data only user,34046,6.77,3.32,19.94,230491.42,195031.2,35460.22,0.83,7.6,36,13.08,41,0.21,0.79,2,38,data_heavy,data_addon|ott_bundle,prepaid,34046,6.77
Seg-3728,Champions — LowD-MediumV (Cross-sell),cross_sell,cross_sell,Champions,low,medium,Declining,Strong Growth,Cross-sell,Combo pack,Voice Growth,Voice increasing,11252,7.21,3.53,14.47,81126.92,26638.69,54488.23,1.07,7.37,28,3.64,134,0.12,0.89,1,14,monthly_combo,combo_pack|retention_pack,prepaid,11252,7.21
Seg-4120,Champions — MediumD-ZeroV (Cross-sell),cross_sell,cross_sell,Champions,medium,Zero,Declining,Strong Growth,Cross-sell,Voice starter pack,Data Growth,Strong data usage,12709,7.76,4.18,24.72,98621.84,88759.66,9862.18,1.11,6.84,27,7.42,0,0.15,0.9,4,7,monthly_combo,combo_pack|retention_pack,prepaid,12709,7.76
Seg-10341,Potential Loyalist — HighD-MediumV (Cross-sell),cross_sell,cross_sell,Potential Loyalist,high,medium,Declining,Dormant,Cross-sell,Voice booster,Voice Weak,Data strong,32417,7.74,3.58,21.85,250907.58,172498.96,78408.62,0.83,8.94,36,13.76,103,0.25,0.83,4,12,monthly_combo,combo_pack|retention_pack,prepaid,32417,7.74
Seg-3924,Champions — MediumD-LowV (Cross-sell),cross_sell,cross_sell,Champions,medium,low,Declining,Strong Growth,Cross-sell,Voice starter pack,Voice Pickup,Voice improving,9436,8.6,3.34,17.29,81149.6,61140.11,20009.49,1.15,7.56,26,8.91,43,0.15,0.87,1,6,monthly_combo,combo_pack|retention_pack,prepaid,9436,8.6
Seg-8039,Lost — Data Heavy (Cross-sell),cross_sell,cross_sell,Lost,high,Zero,Declining,Early Recovery,Cross-sell,Voice starter + data saver,Data Weak Voice Awakening,Data declining while voice begins recovery,5519,1.6,0.62,3.79,8830.4,7947.36,883.04,0.24,5.69,123,16.34,0,0.98,0.16,68,33,data_heavy,data_addon|ott_bundle,prepaid,5519,1.6
Seg-7843,Lost — Data Heavy (Cross-sell),cross_sell,cross_sell,Lost,high,low,Declining,Early Recovery,Cross-sell,Voice starter + retention,Voice Recovering Weak Data,Voice begins recovery while data declines,4831,1.61,0.64,3.28,7777.91,6581.31,1196.6,0.31,5.69,97,16.05,43,0.94,0.17,61,28,data_heavy,data_addon|ott_bundle,prepaid,4831,1.61
Seg-7892,Lost — HighD-MediumV (Cross-sell),cross_sell,cross_sell,Lost,high,medium,Declining,Early Recovery,Cross-sell,Voice-led retention,Voice Recovery Weak Data,Voice starts recovering while data declines,5647,2.16,0.83,5.29,12197.52,8385.8,3811.72,0.29,7.46,104,15.26,123,0.95,0.24,48,81,monthly_combo,combo_pack|retention_pack,prepaid,5647,2.16
Seg-10488,Potential Loyalist — Data Heavy (Activation),activation,increase_activity,Potential Loyalist,high,Zero,Declining,Dormant,Activation,Free voice trial,No Voice Usage,Never used voice,33113,5.47,2.77,16.7,181128.11,163015.3,18112.81,0.91,5.66,33,14.43,0,0.34,0.69,5,64,data_heavy,data_addon|ott_bundle,prepaid,33113,5.47
Seg-10733,Potential Loyalist — Data Heavy (Activation),activation,increase_activity,Potential Loyalist,very_high,Zero,Declining,Dormant,Activation,Free voice trial,No Voice Usage,Data-only user,32501,8.03,3.86,19.71,260983.03,234884.73,26098.3,0.86,9.91,35,25.03,0,0.3,0.71,0,73,data_heavy,data_addon|ott_bundle,prepaid,32501,8.03
Seg-1080,About to Sleep — Voice Heavy (Activation),activation,increase_activity,About to Sleep,Zero,high,Declining,Dormant,Activation,Voice rescue premium,Fading High Voice User,High-value voice customer slipping inactive,11860,1.4,0.67,2.86,16604.0,1660.4,14943.6,0.52,2.64,58,0.0,194,0.92,0.25,36,27,voice_heavy,voice_pack|cross_sell_addon,prepaid,11860,1.4
Seg-982,About to Sleep — ZeroD-LowV (Activation),activation,increase_activity,About to Sleep,Zero,low,Declining,Dormant,Activation,Last call reactivation,Fading Low Voice User,Declining low voice customer becoming inactive,9624,0.79,0.28,2.02,7602.96,760.3,6842.66,0.53,1.36,57,0.0,47,0.97,0.15,48,66,monthly_combo,combo_pack|retention_pack,prepaid,9624,0.79
Seg-1031,About to Sleep — ZeroD-MediumV (Activation),activation,increase_activity,About to Sleep,Zero,medium,Declining,Dormant,Activation,Voice reactivation medium,Fading Medium Voice User,Declining medium voice customer slipping inactive,10496,0.74,0.37,1.53,7767.04,776.7,6990.34,0.51,1.58,59,0.0,122,0.96,0.2,34,18,monthly_combo,combo_pack|retention_pack,prepaid,10496,0.74
Seg-198,About to Sleep — LowD-ZeroV (Activation),activation,increase_activity,About to Sleep,low,Zero,Declining,Dormant,Activation,Starter pack revive,Low Digital User Going Dormant,Light digital user slipping inactive,12018,0.78,0.37,1.92,9374.04,8436.64,937.4,0.5,1.41,60,2.88,0,0.97,0.16,41,13,monthly_combo,combo_pack|retention_pack,prepaid,12018,0.78
Seg-2,About to Sleep — LowD-LowV (Activation),activation,increase_activity,About to Sleep,low,low,Declining,Dormant,Activation,Starter reactivation,Fading Entry User,Low-engagement user slipping toward inactivity,9527,0.75,0.32,2.05,7145.25,3929.89,3215.36,0.57,1.38,53,3.15,41,0.81,0.28,69,81,monthly_combo,combo_pack|retention_pack,prepaid,9527,0.75
Seg-51,About to Sleep — LowD-MediumV (Activation),activation,increase_activity,About to Sleep,low,medium,Declining,Dormant,Activation,Voice revive basic,Fading Voice-First User,Moderate voice user slipping toward dormancy,9209,1.19,0.48,3.42,10958.71,3598.38,7360.33,0.51,2.11,59,3.58,104,0.83,0.3,36,65,monthly_combo,combo_pack|retention_pack,prepaid,9209,1.19
Seg-1179,About to Sleep — Silent (Nurture),nurture,increase_activity,About to Sleep,Zero,Zero,Declining,Early Recovery,Nurture,Starter comeback pack,Early Wake Signal,Weak customer showing first signs of return,9371,1.18,0.5,2.87,11057.78,5528.89,5528.89,0.57,2.04,53,0.0,0,0.98,0.13,54,27,inactive,reactivation_bonus|starter_pack,prepaid,9371,1.18
Seg-1081,About to Sleep — Voice Heavy (Nurture),nurture,increase_activity,About to Sleep,Zero,high,Declining,Early Recovery,Nurture,Recovery starter high,Early High Voice Recovery,Declining user showing first comeback signs,11194,1.95,0.93,5.95,21828.3,2182.83,19645.47,0.58,3.11,52,0.0,214,0.97,0.16,52,24,voice_heavy,voice_pack|cross_sell_addon,prepaid,11194,1.95
Seg-983,About to Sleep — ZeroD-LowV (Nurture),nurture,increase_activity,About to Sleep,Zero,low,Declining,Early Recovery,Nurture,Voice starter pack,Early Voice Recovery,Declining customer showing first voice recovery signs,9250,1.16,0.55,3.08,10730.0,1073.0,9657.0,0.56,2.13,54,0.0,47,0.89,0.19,58,29,monthly_combo,combo_pack|retention_pack,prepaid,9250,1.16
Seg-1032,About to Sleep — ZeroD-MediumV (Nurture),nurture,increase_activity,About to Sleep,Zero,medium,Declining,Early Recovery,Nurture,Recovery starter medium,Early Medium Voice Recovery,Declining customer showing initial comeback,11441,1.11,0.5,2.54,12699.51,1269.95,11429.56,0.48,2.3,62,0.0,107,0.95,0.19,63,18,monthly_combo,combo_pack|retention_pack,prepaid,11441,1.11
Seg-689,About to Sleep — Data Heavy (Nurture),nurture,increase_activity,About to Sleep,high,Zero,Declining,Early Recovery,Nurture,Data recovery starter,Early Digital Recovery,Declining high-data user showing first comeback signs,9985,2.88,1.47,8.12,28756.8,25881.12,2875.68,0.55,4.79,55,14.17,0,0.88,0.28,62,25,data_heavy,data_addon|ott_bundle,prepaid,9985,2.88
Seg-591,About to Sleep — Premium Dual (Nurture),nurture,increase_activity,About to Sleep,high,high,Declining,Early Recovery,Nurture,Premium recovery start,Early Premium Recovery,Declining premium customer showing first recovery signs,9360,4.5,2.28,10.04,42120.0,23166.0,18954.0,0.53,8.6,57,13.57,199,0.86,0.31,65,7,premium_combo,ott_bundle|loyalty_pack,prepaid,9360,4.5
Seg-493,About to Sleep — Data Heavy (Nurture),nurture,increase_activity,About to Sleep,high,low,Declining,Early Recovery,Nurture,Recovery starter bundle,Early Mixed Recovery,Declining customer showing first signs of comeback,9814,3.65,1.94,11.17,35821.1,30310.16,5510.94,0.55,6.1,55,15.36,43,0.82,0.27,54,81,data_heavy,data_addon|ott_bundle,prepaid,9814,3.65
Seg-2408,At Risk — Silent (Monitor),monitor,recommend_best_campaign,At Risk,Zero,Zero,Declining,no_trend,Monitor,Close inactivity watch,Unclear Zero Decline,Usage weak with uncertain movement,14004,1.43,0.63,2.92,20025.72,10012.86,10012.86,0.73,1.96,41,0.0,0,0.98,0.21,50,46,inactive,reactivation_bonus|starter_pack,prepaid,14004,1.43
Seg-6068,Customers needing Attention — Silent (Monitor),monitor,recommend_best_campaign,Customers needing Attention,Zero,Zero,Declining,no_trend,Monitor,Observe inactivity,Unclear Silence,"No data, no clear voice trend",17217,1.81,0.9,4.97,31162.77,15581.39,15581.38,0.75,2.65,40,0.0,0,0.87,0.27,42,26,inactive,reactivation_bonus|starter_pack,prepaid,17217,1.81
Seg-2310,At Risk — Voice Heavy (Monitor),monitor,recommend_best_campaign,At Risk,Zero,high,Declining,no_trend,Monitor,Monitor high voice,Stable High Voice Risk,Voice strong but unclear,14154,2.62,1.03,8.17,37083.48,3708.35,33375.13,0.56,5.06,54,0.0,245,0.86,0.3,49,67,voice_heavy,voice_pack|cross_sell_addon,prepaid,14154,2.62
Seg-2212,At Risk — ZeroD-LowV (Monitor),monitor,recommend_best_campaign,At Risk,Zero,low,Declining,no_trend,Monitor,Observe low user,Low Voice Unclear,Weak voice with uncertain trend,14385,1.38,0.66,4.13,19851.3,1985.13,17866.17,0.57,2.25,53,0.0,53,0.83,0.28,64,32,monthly_combo,combo_pack|retention_pack,prepaid,14385,1.38
Seg-2261,At Risk — ZeroD-MediumV (Monitor),monitor,recommend_best_campaign,At Risk,Zero,medium,Declining,no_trend,Monitor,Track medium voice,Unclear Voice Medium,Voice stable but unclear,15629,1.28,0.65,2.93,20005.12,2000.51,18004.61,0.6,1.95,50,0.0,102,0.85,0.28,21,32,monthly_combo,combo_pack|retention_pack,prepaid,15629,1.28
Seg-4658,Champions — ZeroD-LowV (NBO),growth,increase_arpu,Champions,Zero,low,Declining,Early Recovery,NBO,Small incentive,Weak Recovery,Trying to return,23711,4.15,1.98,8.97,98400.65,9840.07,88560.58,1.0,3.74,30,0.0,42,0.19,0.89,8,40,monthly_combo,combo_pack|retention_pack,prepaid,23711,4.15
Seg-4854,Champions — Silent (NBO),growth,increase_arpu,Champions,Zero,Zero,Declining,Early Recovery,NBO,Free trial offer,Weak Signal,Trying to return,22211,4.69,2.3,13.77,104169.59,52084.79,52084.8,1.2,4.01,25,0.0,0,0.44,0.65,41,15,inactive,reactivation_bonus|starter_pack,prepaid,22211,4.69
Seg-4560,Champions — Premium Dual (NBO),growth,increase_arpu,Champions,very_high,very_high,Declining,Early Recovery,NBO,Gentle engagement offer,Partial Recovery,Recovery starting,19080,31.91,15.81,74.69,608842.8,334863.54,273979.26,1.0,34.45,30,24.44,357,0.11,0.9,4,55,premium_combo,ott_bundle|loyalty_pack,prepaid,19080,31.91
Seg-4266,Champions — Premium Dual (NBO),growth,increase_arpu,Champions,high,high,Declining,Early Recovery,NBO,Reactivation offer,Recovery Signal,Recovering slightly,21931,19.77,6.98,36.78,433575.87,238466.73,195109.14,1.3,14.35,23,15.67,235,0.06,0.93,8,33,premium_combo,ott_bundle|loyalty_pack,prepaid,21931,19.77
